[Fri Aug 07 11:50:27 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 0 | 
[Mon Aug 10 12:04:39 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 1 | 
[Mon Aug 10 12:04:39 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 2 | 
[Mon Aug 10 12:04:39 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 3 | 
[Mon Aug 10 12:05:32 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 0 | [Mob]
[Mon Aug 10 12:05:32 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 1 | 
[Mon Aug 10 12:05:32 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 2 | 
[Mon Aug 10 12:05:32 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 3 | 
[Mon Aug 10 12:06:25 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 0 | [Mob]
[Mon Aug 10 12:06:25 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 1 | Attacker
[Mon Aug 10 12:06:25 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 2 | 0,2,MM
[Mon Aug 10 12:06:25 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 3 | D10
[Mon Aug 10 12:06:42 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -229 | Line: 0 | 
[Mon Aug 10 12:06:42 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -229 | Line: 1 | 
[Mon Aug 10 12:06:42 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -229 | Line: 2 | 
[Mon Aug 10 12:06:42 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -229 | Line: 3 | 
[Mon Aug 10 12:07:27 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 0 | [Mob]
[Mon Aug 10 12:07:27 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 1 | ATTACKER
[Mon Aug 10 12:07:27 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 2 | 5,5,MM
[Mon Aug 10 12:07:27 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 3 | D 5
[Mon Aug 10 12:08:07 EDT 2020] MonzterSlayer | Location: X: -216 Y: 5 Z: -214 | Line: 0 | [Mob]
[Mon Aug 10 12:08:07 EDT 2020] MonzterSlayer | Location: X: -216 Y: 5 Z: -214 | Line: 1 | MAIN_EGG
[Mon Aug 10 12:08:07 EDT 2020] MonzterSlayer | Location: X: -216 Y: 5 Z: -214 | Line: 2 | 0,1,MM
[Mon Aug 10 12:08:07 EDT 2020] MonzterSlayer | Location: X: -216 Y: 5 Z: -214 | Line: 3 | D 5
[Mon Aug 10 18:18:57 EDT 2020] MonzterSlayer | Location: X: -257 Y: 93 Z: -230 | Line: 0 | [Mob]
[Mon Aug 10 18:18:57 EDT 2020] MonzterSlayer | Location: X: -257 Y: 93 Z: -230 | Line: 1 | BREAKABLE_EGG
[Mon Aug 10 18:18:57 EDT 2020] MonzterSlayer | Location: X: -257 Y: 93 Z: -230 | Line: 2 | 0,1,MM
[Mon Aug 10 18:18:57 EDT 2020] MonzterSlayer | Location: X: -257 Y: 93 Z: -230 | Line: 3 | D50
[Thu Aug 13 17:50:36 UTC 2020] AEzokko | Location: X: -150 Y: 102 Z: -839 | Line: 0 | a
[Thu Aug 13 17:50:36 UTC 2020] AEzokko | Location: X: -150 Y: 102 Z: -839 | Line: 1 | 
[Thu Aug 13 17:50:36 UTC 2020] AEzokko | Location: X: -150 Y: 102 Z: -839 | Line: 2 | 
[Thu Aug 13 17:50:36 UTC 2020] AEzokko | Location: X: -150 Y: 102 Z: -839 | Line: 3 | 
[Fri Aug 14 20:27:15 CEST 2020] Noahs12312 | Location: X: -1042 Y: 102 Z: -1150 | Line: 0 | Quest
[Fri Aug 14 20:27:15 CEST 2020] Noahs12312 | Location: X: -1042 Y: 102 Z: -1150 | Line: 1 | 
[Fri Aug 14 20:27:15 CEST 2020] Noahs12312 | Location: X: -1042 Y: 102 Z: -1150 | Line: 2 | 
[Fri Aug 14 20:27:15 CEST 2020] Noahs12312 | Location: X: -1042 Y: 102 Z: -1150 | Line: 3 | 
[Fri Aug 14 20:27:18 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 0 | 
[Fri Aug 14 20:27:18 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 1 | 
[Fri Aug 14 20:27:18 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 2 | 
[Fri Aug 14 20:27:18 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 3 | 
[Fri Aug 14 20:27:28 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 0 | Items
[Fri Aug 14 20:27:28 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 1 | 
[Fri Aug 14 20:27:28 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 2 | 
[Fri Aug 14 20:27:28 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 3 | 
[Sun Aug 16 11:04:15 CEST 2020] MonzterSlayer | Location: X: 22 Y: 16 Z: 5 | Line: 0 | 
[Sun Aug 16 11:04:15 CEST 2020] MonzterSlayer | Location: X: 22 Y: 16 Z: 5 | Line: 1 | 
[Sun Aug 16 11:04:15 CEST 2020] MonzterSlayer | Location: X: 22 Y: 16 Z: 5 | Line: 2 | 
[Sun Aug 16 11:04:15 CEST 2020] MonzterSlayer | Location: X: 22 Y: 16 Z: 5 | Line: 3 | 
