[Fri Aug 07 11:50:27 EDT 2020] MonzterSlayer | Location: X: -210 Y: 4 Z: -214 | Line: 0 | 
[Mon Aug 10 12:04:39 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 0 | 
[Mon Aug 10 12:04:39 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 1 | 
[Mon Aug 10 12:04:39 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 2 | 
[Mon Aug 10 12:04:39 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 3 | 
[Mon Aug 10 12:05:32 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 0 | [Mob]
[Mon Aug 10 12:05:32 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 1 | 
[Mon Aug 10 12:05:32 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 2 | 
[Mon Aug 10 12:05:32 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 3 | 
[Mon Aug 10 12:06:25 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 0 | [Mob]
[Mon Aug 10 12:06:25 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 1 | Attacker
[Mon Aug 10 12:06:25 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 2 | 0,2,MM
[Mon Aug 10 12:06:25 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 3 | D10
[Mon Aug 10 12:06:42 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -229 | Line: 0 | 
[Mon Aug 10 12:06:42 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -229 | Line: 1 | 
[Mon Aug 10 12:06:42 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -229 | Line: 2 | 
[Mon Aug 10 12:06:42 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -229 | Line: 3 | 
[Mon Aug 10 12:07:27 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 0 | [Mob]
[Mon Aug 10 12:07:27 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 1 | ATTACKER
[Mon Aug 10 12:07:27 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 2 | 5,5,MM
[Mon Aug 10 12:07:27 EDT 2020] MonzterSlayer | Location: X: -216 Y: 4 Z: -230 | Line: 3 | D 5
[Mon Aug 10 12:08:07 EDT 2020] MonzterSlayer | Location: X: -216 Y: 5 Z: -214 | Line: 0 | [Mob]
[Mon Aug 10 12:08:07 EDT 2020] MonzterSlayer | Location: X: -216 Y: 5 Z: -214 | Line: 1 | MAIN_EGG
[Mon Aug 10 12:08:07 EDT 2020] MonzterSlayer | Location: X: -216 Y: 5 Z: -214 | Line: 2 | 0,1,MM
[Mon Aug 10 12:08:07 EDT 2020] MonzterSlayer | Location: X: -216 Y: 5 Z: -214 | Line: 3 | D 5
[Mon Aug 10 18:18:57 EDT 2020] MonzterSlayer | Location: X: -257 Y: 93 Z: -230 | Line: 0 | [Mob]
[Mon Aug 10 18:18:57 EDT 2020] MonzterSlayer | Location: X: -257 Y: 93 Z: -230 | Line: 1 | BREAKABLE_EGG
[Mon Aug 10 18:18:57 EDT 2020] MonzterSlayer | Location: X: -257 Y: 93 Z: -230 | Line: 2 | 0,1,MM
[Mon Aug 10 18:18:57 EDT 2020] MonzterSlayer | Location: X: -257 Y: 93 Z: -230 | Line: 3 | D50
[Thu Aug 13 17:50:36 UTC 2020] AEzokko | Location: X: -150 Y: 102 Z: -839 | Line: 0 | a
[Thu Aug 13 17:50:36 UTC 2020] AEzokko | Location: X: -150 Y: 102 Z: -839 | Line: 1 | 
[Thu Aug 13 17:50:36 UTC 2020] AEzokko | Location: X: -150 Y: 102 Z: -839 | Line: 2 | 
[Thu Aug 13 17:50:36 UTC 2020] AEzokko | Location: X: -150 Y: 102 Z: -839 | Line: 3 | 
[Fri Aug 14 20:27:15 CEST 2020] Noahs12312 | Location: X: -1042 Y: 102 Z: -1150 | Line: 0 | Quest
[Fri Aug 14 20:27:15 CEST 2020] Noahs12312 | Location: X: -1042 Y: 102 Z: -1150 | Line: 1 | 
[Fri Aug 14 20:27:15 CEST 2020] Noahs12312 | Location: X: -1042 Y: 102 Z: -1150 | Line: 2 | 
[Fri Aug 14 20:27:15 CEST 2020] Noahs12312 | Location: X: -1042 Y: 102 Z: -1150 | Line: 3 | 
[Fri Aug 14 20:27:18 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 0 | 
[Fri Aug 14 20:27:18 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 1 | 
[Fri Aug 14 20:27:18 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 2 | 
[Fri Aug 14 20:27:18 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 3 | 
[Fri Aug 14 20:27:28 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 0 | Items
[Fri Aug 14 20:27:28 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 1 | 
[Fri Aug 14 20:27:28 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 2 | 
[Fri Aug 14 20:27:28 CEST 2020] Noahs12312 | Location: X: -1041 Y: 102 Z: -1150 | Line: 3 | 
[Sun Aug 16 11:04:15 CEST 2020] MonzterSlayer | Location: X: 22 Y: 16 Z: 5 | Line: 0 | 
[Sun Aug 16 11:04:15 CEST 2020] MonzterSlayer | Location: X: 22 Y: 16 Z: 5 | Line: 1 | 
[Sun Aug 16 11:04:15 CEST 2020] MonzterSlayer | Location: X: 22 Y: 16 Z: 5 | Line: 2 | 
[Sun Aug 16 11:04:15 CEST 2020] MonzterSlayer | Location: X: 22 Y: 16 Z: 5 | Line: 3 | 
[Thu Sep 02 23:33:38 EDT 2021] MonzterSlayer | Location: X: -669 Y: 25 Z: -472 | Line: 0 | dw
[Thu Sep 02 23:33:38 EDT 2021] MonzterSlayer | Location: X: -669 Y: 25 Z: -472 | Line: 1 | 
[Thu Sep 02 23:33:38 EDT 2021] MonzterSlayer | Location: X: -669 Y: 25 Z: -472 | Line: 2 | 
[Thu Sep 02 23:33:38 EDT 2021] MonzterSlayer | Location: X: -669 Y: 25 Z: -472 | Line: 3 | 
[Thu Sep 02 23:33:39 EDT 2021] MonzterSlayer | Location: X: -669 Y: 25 Z: -472 | Line: 0 | 
[Thu Sep 02 23:33:39 EDT 2021] MonzterSlayer | Location: X: -669 Y: 25 Z: -472 | Line: 1 | 
[Thu Sep 02 23:33:39 EDT 2021] MonzterSlayer | Location: X: -669 Y: 25 Z: -472 | Line: 2 | 
[Thu Sep 02 23:33:39 EDT 2021] MonzterSlayer | Location: X: -669 Y: 25 Z: -472 | Line: 3 | 
[Thu Sep 02 23:33:48 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -471 | Line: 0 | d
[Thu Sep 02 23:33:48 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -471 | Line: 1 | 
[Thu Sep 02 23:33:48 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -471 | Line: 2 | 
[Thu Sep 02 23:33:48 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -471 | Line: 3 | 
[Thu Sep 02 23:33:49 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -470 | Line: 0 | 
[Thu Sep 02 23:33:49 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -470 | Line: 1 | 
[Thu Sep 02 23:33:49 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -470 | Line: 2 | 
[Thu Sep 02 23:33:49 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -470 | Line: 3 | 
[Thu Sep 02 23:33:50 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -470 | Line: 0 | 
[Thu Sep 02 23:33:50 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -470 | Line: 1 | 
[Thu Sep 02 23:33:50 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -470 | Line: 2 | 
[Thu Sep 02 23:33:50 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -470 | Line: 3 | 
[Thu Sep 02 23:33:51 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -471 | Line: 0 | 
[Thu Sep 02 23:33:51 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -471 | Line: 1 | 
[Thu Sep 02 23:33:51 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -471 | Line: 2 | 
[Thu Sep 02 23:33:51 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -471 | Line: 3 | 
[Thu Sep 02 23:34:01 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -468 | Line: 0 | 
[Thu Sep 02 23:34:01 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -468 | Line: 1 | 
[Thu Sep 02 23:34:01 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -468 | Line: 2 | 
[Thu Sep 02 23:34:01 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -468 | Line: 3 | 
[Thu Sep 02 23:34:03 EDT 2021] MonzterSlayer | Location: X: -669 Y: 26 Z: -467 | Line: 0 | 
[Thu Sep 02 23:34:03 EDT 2021] MonzterSlayer | Location: X: -669 Y: 26 Z: -467 | Line: 1 | 
[Thu Sep 02 23:34:03 EDT 2021] MonzterSlayer | Location: X: -669 Y: 26 Z: -467 | Line: 2 | 
[Thu Sep 02 23:34:03 EDT 2021] MonzterSlayer | Location: X: -669 Y: 26 Z: -467 | Line: 3 | 
[Thu Sep 02 23:34:05 EDT 2021] MonzterSlayer | Location: X: -669 Y: 26 Z: -467 | Line: 0 | 
[Thu Sep 02 23:34:05 EDT 2021] MonzterSlayer | Location: X: -669 Y: 26 Z: -467 | Line: 1 | 
[Thu Sep 02 23:34:05 EDT 2021] MonzterSlayer | Location: X: -669 Y: 26 Z: -467 | Line: 2 | 
[Thu Sep 02 23:34:05 EDT 2021] MonzterSlayer | Location: X: -669 Y: 26 Z: -467 | Line: 3 | 
[Thu Sep 02 23:34:07 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -467 | Line: 0 | 
[Thu Sep 02 23:34:07 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -467 | Line: 1 | 
[Thu Sep 02 23:34:07 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -467 | Line: 2 | 
[Thu Sep 02 23:34:07 EDT 2021] MonzterSlayer | Location: X: -670 Y: 25 Z: -467 | Line: 3 | 
[Thu Sep 09 06:35:56 EDT 2021] MonzterSlayer | Location: X: -261 Y: 58 Z: -3514 | Line: 0 | Farm House
[Thu Sep 09 06:35:56 EDT 2021] MonzterSlayer | Location: X: -261 Y: 58 Z: -3514 | Line: 1 | He will have quest
[Thu Sep 09 06:35:56 EDT 2021] MonzterSlayer | Location: X: -261 Y: 58 Z: -3514 | Line: 2 | for leading cats
[Thu Sep 09 06:35:56 EDT 2021] MonzterSlayer | Location: X: -261 Y: 58 Z: -3514 | Line: 3 | back to here
[Thu Sep 09 06:36:17 EDT 2021] MonzterSlayer | Location: X: -229 Y: 16 Z: -3626 | Line: 0 | Small shack?
[Thu Sep 09 06:36:17 EDT 2021] MonzterSlayer | Location: X: -229 Y: 16 Z: -3626 | Line: 1 | not 100%
[Thu Sep 09 06:36:17 EDT 2021] MonzterSlayer | Location: X: -229 Y: 16 Z: -3626 | Line: 2 | 
[Thu Sep 09 06:36:17 EDT 2021] MonzterSlayer | Location: X: -229 Y: 16 Z: -3626 | Line: 3 | 
[Thu Sep 09 06:36:46 EDT 2021] MonzterSlayer | Location: X: -374 Y: 34 Z: -3615 | Line: 0 | 
[Thu Sep 09 06:36:46 EDT 2021] MonzterSlayer | Location: X: -374 Y: 34 Z: -3615 | Line: 1 | 
[Thu Sep 09 06:36:46 EDT 2021] MonzterSlayer | Location: X: -374 Y: 34 Z: -3615 | Line: 2 | 
[Thu Sep 09 06:36:46 EDT 2021] MonzterSlayer | Location: X: -374 Y: 34 Z: -3615 | Line: 3 | 
[Thu Sep 09 06:36:59 EDT 2021] MonzterSlayer | Location: X: -374 Y: 34 Z: -3615 | Line: 0 | Warlock House
[Thu Sep 09 06:36:59 EDT 2021] MonzterSlayer | Location: X: -374 Y: 34 Z: -3615 | Line: 1 | 
[Thu Sep 09 06:36:59 EDT 2021] MonzterSlayer | Location: X: -374 Y: 34 Z: -3615 | Line: 2 | 
[Thu Sep 09 06:36:59 EDT 2021] MonzterSlayer | Location: X: -374 Y: 34 Z: -3615 | Line: 3 | 
[Thu Sep 09 06:38:51 EDT 2021] MonzterSlayer | Location: X: -107 Y: 61 Z: -3461 | Line: 0 | Another farmish
[Thu Sep 09 06:38:51 EDT 2021] MonzterSlayer | Location: X: -107 Y: 61 Z: -3461 | Line: 1 | shack
[Thu Sep 09 06:38:51 EDT 2021] MonzterSlayer | Location: X: -107 Y: 61 Z: -3461 | Line: 2 | Will have quest
[Thu Sep 09 06:38:51 EDT 2021] MonzterSlayer | Location: X: -107 Y: 61 Z: -3461 | Line: 3 | to jump chickens 
[Thu Sep 09 06:39:06 EDT 2021] MonzterSlayer | Location: X: -107 Y: 61 Z: -3460 | Line: 0 | from here to belo
[Thu Sep 09 06:39:06 EDT 2021] MonzterSlayer | Location: X: -107 Y: 61 Z: -3460 | Line: 1 | and land in a
[Thu Sep 09 06:39:06 EDT 2021] MonzterSlayer | Location: X: -107 Y: 61 Z: -3460 | Line: 2 | specific spot
[Thu Sep 09 06:39:06 EDT 2021] MonzterSlayer | Location: X: -107 Y: 61 Z: -3460 | Line: 3 | 
[Thu Sep 09 06:41:47 EDT 2021] MonzterSlayer | Location: X: -234 Y: 15 Z: -3446 | Line: 0 | Jake will have
[Thu Sep 09 06:41:47 EDT 2021] MonzterSlayer | Location: X: -234 Y: 15 Z: -3446 | Line: 1 | a treasure hunt
[Thu Sep 09 06:41:47 EDT 2021] MonzterSlayer | Location: X: -234 Y: 15 Z: -3446 | Line: 2 | quest
[Thu Sep 09 06:41:47 EDT 2021] MonzterSlayer | Location: X: -234 Y: 15 Z: -3446 | Line: 3 | 
